group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"impl GlweCiphertextDecryptionEngine<GlweSecretKey64,GlweCiphertext64,PlaintextVector64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(4096))",,,84371353.0,ns,2
"impl GlweCiphertextDecryptionEngine<GlweSecretKey64,GlweCiphertext64,PlaintextVector64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(4096))",,,84106527.0,ns,2
"impl GlweCiphertextDecryptionEngine<GlweSecretKey64,GlweCiphertext64,PlaintextVector64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(4096))",,,84190642.0,ns,2
"impl GlweCiphertextDecryptionEngine<GlweSecretKey64,GlweCiphertext64,PlaintextVector64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(4096))",,,84217474.0,ns,2
"impl GlweCiphertextDecryptionEngine<GlweSecretKey64,GlweCiphertext64,PlaintextVector64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(4096))",,,84178531.0,ns,2
"impl GlweCiphertextDecryptionEngine<GlweSecretKey64,GlweCiphertext64,PlaintextVector64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(4096))",,,84168039.0,ns,2
"impl GlweCiphertextDecryptionEngine<GlweSecretKey64,GlweCiphertext64,PlaintextVector64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(4096))",,,84173437.0,ns,2
"impl GlweCiphertextDecryptionEngine<GlweSecretKey64,GlweCiphertext64,PlaintextVector64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(4096))",,,84256618.0,ns,2
"impl GlweCiphertextDecryptionEngine<GlweSecretKey64,GlweCiphertext64,PlaintextVector64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(4096))",,,84311701.0,ns,2
"impl GlweCiphertextDecryptionEngine<GlweSecretKey64,GlweCiphertext64,PlaintextVector64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(4096))",,,84272985.0,ns,2
"impl GlweCiphertextDecryptionEngine<GlweSecretKey64,GlweCiphertext64,PlaintextVector64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(4096))",,,84187290.0,ns,2
"impl GlweCiphertextDecryptionEngine<GlweSecretKey64,GlweCiphertext64,PlaintextVector64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(4096))",,,84294759.0,ns,2
"impl GlweCiphertextDecryptionEngine<GlweSecretKey64,GlweCiphertext64,PlaintextVector64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(4096))",,,84204002.0,ns,2
"impl GlweCiphertextDecryptionEngine<GlweSecretKey64,GlweCiphertext64,PlaintextVector64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(4096))",,,84569609.0,ns,2
"impl GlweCiphertextDecryptionEngine<GlweSecretKey64,GlweCiphertext64,PlaintextVector64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(4096))",,,84176442.0,ns,2
