group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"impl GlweCiphertextDiscardingDecryptionEngine<GlweSecretKey32,GlweCiphertext32,PlaintextVector32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,1282472.0,ns,2
"impl GlweCiphertextDiscardingDecryptionEngine<GlweSecretKey32,GlweCiphertext32,PlaintextVector32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,2563234.0,ns,4
"impl GlweCiphertextDiscardingDecryptionEngine<GlweSecretKey32,GlweCiphertext32,PlaintextVector32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,3846990.0,ns,6
"impl GlweCiphertextDiscardingDecryptionEngine<GlweSecretKey32,GlweCiphertext32,PlaintextVector32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,5129582.0,ns,8
"impl GlweCiphertextDiscardingDecryptionEngine<GlweSecretKey32,GlweCiphertext32,PlaintextVector32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,6411222.0,ns,10
"impl GlweCiphertextDiscardingDecryptionEngine<GlweSecretKey32,GlweCiphertext32,PlaintextVector32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,7691360.0,ns,12
"impl GlweCiphertextDiscardingDecryptionEngine<GlweSecretKey32,GlweCiphertext32,PlaintextVector32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,8973765.0,ns,14
"impl GlweCiphertextDiscardingDecryptionEngine<GlweSecretKey32,GlweCiphertext32,PlaintextVector32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,10254569.0,ns,16
"impl GlweCiphertextDiscardingDecryptionEngine<GlweSecretKey32,GlweCiphertext32,PlaintextVector32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,11537619.0,ns,18
"impl GlweCiphertextDiscardingDecryptionEngine<GlweSecretKey32,GlweCiphertext32,PlaintextVector32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,12709177.0,ns,20
"impl GlweCiphertextDiscardingDecryptionEngine<GlweSecretKey32,GlweCiphertext32,PlaintextVector32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,13603340.0,ns,22
"impl GlweCiphertextDiscardingDecryptionEngine<GlweSecretKey32,GlweCiphertext32,PlaintextVector32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,14834580.0,ns,24
"impl GlweCiphertextDiscardingDecryptionEngine<GlweSecretKey32,GlweCiphertext32,PlaintextVector32> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,16152295.0,ns,26
