group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,1629539.0,ns,2
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,3259200.0,ns,4
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,4884859.0,ns,6
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,6512568.0,ns,8
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,8148608.0,ns,10
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,9771446.0,ns,12
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,11403530.0,ns,14
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,13097359.0,ns,16
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,14732169.0,ns,18
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,16279497.0,ns,20
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,18103789.0,ns,22
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,19338180.0,ns,24
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,20757052.0,ns,26
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,22716830.0,ns,28
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,24225247.0,ns,30
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,25752352.0,ns,32
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,27291699.0,ns,34
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,29649472.0,ns,36
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,30407529.0,ns,38
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,32408610.0,ns,40
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,33939935.0,ns,42
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,35861224.0,ns,44
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,37688206.0,ns,46
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,39201582.0,ns,48
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,40665630.0,ns,50
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,41703859.0,ns,52
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,43113101.0,ns,54
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,45136898.0,ns,56
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,46432019.0,ns,58
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,48404016.0,ns,60
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,50310933.0,ns,62
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,51419157.0,ns,64
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,52700040.0,ns,66
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,54334887.0,ns,68
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,55828223.0,ns,70
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,57608908.0,ns,72
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,59512522.0,ns,74
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,61167591.0,ns,76
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,62454630.0,ns,78
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,65731072.0,ns,80
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,68687337.0,ns,82
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,69170070.0,ns,84
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,70822493.0,ns,86
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,72761508.0,ns,88
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,73944740.0,ns,90
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,75421634.0,ns,92
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,76526677.0,ns,94
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,77493274.0,ns,96
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,79359646.0,ns,98
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,80688484.0,ns,100
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,82285788.0,ns,102
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,84337556.0,ns,104
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,86263420.0,ns,106
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,87246335.0,ns,108
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,89109274.0,ns,110
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,90176310.0,ns,112
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,91152794.0,ns,114
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,92517990.0,ns,116
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,94125424.0,ns,118
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,96550924.0,ns,120
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,98318226.0,ns,122
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,99187627.0,ns,124
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,100816205.0,ns,126
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,102059997.0,ns,128
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,106351152.0,ns,130
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,107667591.0,ns,132
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,107526893.0,ns,134
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,110054086.0,ns,136
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,111493243.0,ns,138
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,113946439.0,ns,140
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,115101920.0,ns,142
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,115770498.0,ns,144
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,117291616.0,ns,146
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,121813349.0,ns,148
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,122658309.0,ns,150
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,122768746.0,ns,152
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,123142170.0,ns,154
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,124533140.0,ns,156
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,127154091.0,ns,158
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,129752946.0,ns,160
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,129843596.0,ns,162
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,131527822.0,ns,164
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,136425639.0,ns,166
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,138190028.0,ns,168
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,138427050.0,ns,170
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,137229019.0,ns,172
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,138975894.0,ns,174
"impl GlweCiphertextEncryptionEngine<GlweSecretKey64,PlaintextVector64,GlweCiphertext64> for CoreEngine",,"(GlweDimension(1), PolynomialSize(512))",,,141135859.0,ns,176
